no,kd1,kd2
1,hello,I heard you just won a competition
2,let me introduce myself,congratulations on your success!
3,my name is Budi,congratulations!
4,I live in Pati,I am glad for your success
5,I go to SMKN 2 Pati,you are really great!
6,I major in electrical engineering,you are really terrific!
7,my name is Wati,well done!
8,I like playing football,good job!
9,I like reading,you are the best!
10,may I know your name?,you are the man!
11,nice to know you,I would like to congratulate you !
12,how are you?,I would like to congratulate you for your success!
13,how do you do?,that's great!
14,good morning,you deserve it!
15,good afternoon,I am really glad for your success!
16,good evening,I heard that you have been promoted
17,good night,I heard that you received a scholarship
18,good bye,you are great!
19,glad to know you,you are the one!
20,fancy meeting you,congrats!
